vr_id,vendor_id,vr_productcode,vr_minqty,vr_maxqty,vr_price,vr_partno,vr_deactivate_until,lastmodified,lastmodby
"1396","100","C0459-1B","1","",".0100","C0459-1B","","2025-04-10 11:47:00","1"
"3365","11","C0462A","1","","6.9900","C0462A -CRL #DL2210A18","","2025-04-10 11:47:00","1"
"3366","11","C0462B","1","","6.9900","C0462B -CRL #DL2210DU18","","2025-04-10 11:47:00","1"
"3960","55","C0463B","1","","36.9600","C0463B -#0","","",""
"559","100","C0474-1","1","",".0100","C0474-1","","2025-04-10 11:47:00","1"
"3255","55","C0517","1","","35.7000","C0517 -#933","","2025-04-10 11:47:00","1"
"1160","100","C0519","1","",".0100","C0519","","2025-04-10 11:47:00","1"
"4096","11","C05190","1","","899.7400","C05190 -ADVANCE DOOR","","",""
"1158","100","C0521","1","",".0100","C0521","","2025-04-10 11:47:00","1"
"2722","100","C0521-2","1","",".0100","C0521-2","","2025-04-10 11:47:00","1"
"1161","100","C0523","1","",".0100","C0523","","2025-04-10 11:47:00","1"
"2043","100","C0530","1","",".0100","C0530","","2025-04-10 11:47:00","1"
"1389","100","C0586R3","1","",".0100","C0586R3","","2025-04-10 11:47:00","1"
"1390","100","C0588R2","1","",".0100","C0588R2","","2025-04-10 11:47:00","1"
"3468","55","C0589","1","","25.9000","C589 -#1748","","2025-04-10 11:47:00","1"
"1391","100","C0590-1","1","",".0100","C0590-1","","2025-04-10 11:47:00","1"
"1392","100","C0593","1","",".0100","C0593","","2025-04-10 11:47:00","1"
"3572","55","C0672","1","","8.5000","C0672 -#1680","","2026-03-16 13:31:00","1"
"2085","100","C0710","1","",".0100","C0710","","2025-04-10 11:47:00","1"
"2864","55","C0805-1","1","","28.2500","C0805-1 -#699","","2025-04-10 11:47:00","1"
"3207","55","C0815","1","","55.7200","C0815 -#858","","2025-04-10 11:47:00","1"
"2890","55","C0817","1","","51.6600","C0817 -#1013","","2025-04-10 11:47:00","1"
"1186","100","C0843-2A","1","",".0100","C0843-2A","","2025-04-10 11:47:00","1"
"1187","100","C0844-2A","1","",".0100","C0844-2A","","2025-04-10 11:47:00","1"
"3256","55","C0852-2","1","","27.6900","C0852-2 -#185","","2025-04-10 11:47:00","1"
"2848","11","C0865","1","","177.0000","C0865 -ADDISON","","2025-04-10 11:47:00","1"
"1982","100","C0868A","1","",".0100","C0868A","","2025-04-10 11:47:00","1"
"2847","11","C0883","1","","24.5000","CO883 -4015-18IB #182435","","2025-04-10 11:47:00","1"
"563","100","C0888-1B","1","",".0100","C0888-1B","","2025-04-10 11:47:00","1"
"4102","100","C0902-3","1","",".0100","C0902-3","","",""
"1188","100","C0910A","1","",".0100","C0910A","","2025-04-10 11:47:00","1"
"1189","100","C0910B","1","",".0100","C0910B","","2025-04-10 11:47:00","1"
"2044","100","C0911A","1","",".0100","C0911A","","2025-04-10 11:47:00","1"
"1190","100","C0911B","1","",".0100","C0911B","","2025-04-10 11:47:00","1"
"3347","55","C0980","1","","148.7500","C0980 -#1726","","2026-06-10 12:01:00","1"
"1199","100","C0980-1A","1","",".0100","C0980-1A","","2025-04-10 11:47:00","1"
"1200","100","C0980-2A","1","",".0100","C0980-2A","","2025-04-10 11:47:00","1"
"3348","55","C0980-5","1","","79.8700","C980-5 -#1751","","2025-04-10 11:47:00","1"
"3349","55","C0981-1","1","","54.2400","C981-1 -#1725","","2025-04-10 11:47:00","1"
"2803","11","C0981-6A","1","","91.8200","C00981.006AB (ADDISON)","","2025-04-10 11:47:00","1"
"3470","100","C0986-1","1","",".0100","C0986-1","","2025-04-10 11:47:00","1"
"2804","11","C10165","1","","12.8000","C10165.0001 (ADDISON)","","2025-04-10 11:47:00","1"
"2574","55","C10462-6A","1","","154.4000","C10462-6A","","2025-04-10 11:47:00","1"
"2575","55","C1058-6","1","","14.4000","C1058-6","","2025-04-10 11:47:00","1"
"1378","100","C1160-5","1","",".0100","C1160-5","","2025-04-10 11:47:00","1"
"2657","11","C1169-4","1","","26.4000","C01169.0004 -ADDISON","","2025-04-10 11:47:00","1"
"3875","55","C1286","1","","5.9500","C1286 -#1286","","2026-02-17 10:20:00","1"
"1206","100","C1315-2","1","",".0100","C1315-2","","2025-04-10 11:47:00","1"
"3849","55","C1332-2","1","","44.0000","C1332-2 -#1239","","2025-04-10 11:47:00","1"
"3576","11","C1334-2","1","","128.4800","C1334-2 -#ADDISON","","2025-04-10 11:47:00","1"
"3848","55","C1338-1","1","","34.0000","C1338-1 -#1238","","2025-04-10 11:47:00","1"
"3400","100","C1630-2","1","",".0100","C1630-2","","2025-04-10 11:47:00","1"
"2915","55","C1682","1","","4.2800","C1682 -897","","2025-04-10 11:47:00","1"
"3966","55","C2100-2","1","","320.0000","C2100-2 -#113-GC","","",""
"2515","55","C2101-1","1","","45.5300","C2101-1 -#174G","","2025-04-10 11:47:00","1"
"2516","55","C2101-2","1","","49.6600","C2101-2 -#174","","2025-04-10 11:47:00","1"
"3209","55","C2102","1","","324.1700","C2102 -#746","","2025-04-10 11:47:00","1"
"3258","55","C2102-1","1","","324.1700","C2102-1 -#746","","2025-04-10 11:47:00","1"
"3246","55","C2103","1","","202.6100","C2103 -#931","","2025-04-10 11:47:00","1"
"3082","55","C2106-1","1","","8.5000","C2106-1 -#685","","2025-04-10 11:47:00","1"
"3259","55","C2108-1","1","","28.0000","C2108-1 -#1362","","2025-04-10 11:47:00","1"
"3260","55","C2109-1","1","","28.0000","C2109-1 -#1362","","2025-04-10 11:47:00","1"
"3261","55","C2110","1","","60.7800","C2110 -#219","","2025-04-10 11:47:00","1"
"3486","11","C2126","1","","24.2800","C2126","","2025-04-10 11:47:00","1"
