Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Old Part #
M-01109,"BAR,RECT.,ALUM.,3/4 X 1-1/4,6061-T6",IN,12.4,6.2,,,,14-3545
M-01110,"SPACER,LOCK,ARM",EA,9.7,4.85,,,,14-10801
M-01111,"END PLUG,HINGE TUBE",EA,22.0,11.0,,,,14-8947
M-01112,"OPERATOR,BODY,OPMANS,710",EA,112.0,56.0,,,,24-10454
M-01113,"BRACKET,ICU,D/RECESSED HANDLE",EA,41.0,20.5,,,,24-12956
M-01114,"BAR,ANGLE,ALUM.,3 X 2 X 1/4,6061-T6",IN,2.17,1.09,,,,14-10470
M-01115,"BRACKET,PIVOT BASE",EA,28.0,14.0,,,,24-9642
M-01116,"END STOP,BRACKET,SLIDER",EA,63.0,31.5,,,,14-10713
M-01117,"BAR,RECT.,ALUM.,1/2 X 6,6061-T6",IN,5.5,2.75,,,,14-10296
M-01118,"BAR,RECT.,ALUM.,1/4 X 1,6061-T6",IN,1.47,0.74,,,,14-2823
M-01122,"COVER,BASE PIVOT,2100 TELESCOPIC,RH",EA,44.0,22.0,,,,24-10826
M-01123,"CLIP,RAIL,MUNTIN,L-CLIP",EA,17.0,8.5,,,,14-9788
M-01125,"BAR,RECT.,ALUM.,5/16 X 1,6061-T6",IN,1.47,0.74,,,,14-11615
M-01127,"NOSE GUIDE,WELDMENT,BIFOLD",EA,144.0,72.0,,,,22-8940
M-01129,"BAR,RECT.,ALUM.,3/8 X 1-1/2,6061-T6",IN,1.47,0.74,,,,14-5162
M-01132,"COVER,BASE PIVOT,2100,LH",EA,36.0,18.0,,,,24-10803
M-01133,"OPERATOR BODY,710",EA,144.0,72.0,,,,24-10269
M-01134,"BAR, SPLINED, INSWING ARM",EA,84.0,42.0,,,,24-10325
M-01136,"HARNESS,BREAKOUT,1175,40""",EA,32.0,16.0,,,,22-9220-02
M-01137,"BAR,RND.,BRASS,1 DIA.",IN,12.4,6.2,,,,14-8433
M-01139,"PANIC CATCH,HEADER,ICU",EA,134.0,67.0,,,,14-3689
M-01140,"COVER,BASE PIVOT,2100 TELESCOPIC,LH",EA,44.0,22.0,,,,24-10827
M-01141,"HARNESS, MODIFIED - OPTEX I-ONE",EA,77.0,38.5,,,,12-13018
M-01142,"DRIVEBAR, WLDMNT NH COMP W/8969-8970",EA,185.0,92.5,,,,22-8971
M-01144,"SWITCH, KEY - NABCO",EA,139.0,69.5,,,,14-11876-02
M-01146,"BAR,RECT.,STEEL,3/8 X 1-1/4,1018",IN,1.47,0.74,,,,14-1321
M-01147,"WEATHERSTRIP,ALL-GLASS,CLEAR W/ GRAY",IN,154.0,77.0,,,,11-5945-50
M-01150,"COVER,BASE PIVOT,2100,RH",EA,36.0,18.0,,,,24-10802
M-01151,"ROLLER,NOSE GUIDE,BIFOLD",EA,14.9,7.45,,,,14-12951
M-01152,"BAR,RECT.,ALUM.,1 X 1-1/4,6061-T6",IN,2.32,1.16,,,,24-0520
M-01154,"END CAP,BIFOLD,MILL",EA,80.0,40.0,,,,24-8966-03
M-01155,"BAR, SPLINED, INSWING ARM",EA,60.0,30.0,,,,24-3563
M-01156,"HARNESS,EXTENSION,1175 SENSOR,48""",EA,28.0,14.0,,,,22-9267-01
M-01159,"RING, STOP - HOLD DOWN",EA,19.0,9.5,,,,24-2303
M-01162,"HARNESS,MICROSWITCH,MAGNUM",EA,75.0,37.5,,,,21-9934
M-01165,"SPRING,LEAF,PANIC LATCH",EA,11.3,5.65,,,,14-6123
M-01166,"SELF ANGLER,PIVOT BASE,UL PART",EA,11.3,5.65,,,,24-0029
