Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10QUADSCANII40,"Quadscan II safety sensor 40"""" 40"""" cut length end to end",EA,686.52,322.83,,,,304.56
10QUADSCANIICUSTOM,"Quadscan II, Custom Lengh custom size",EA,698.88,328.81,,,,310.2
10R2E-100,R2E-100 Security Sensor,EA,194.54,92.69,,,,87.45
10R300,"10R300, 300 MHZ RECEIVER",EA,142.14,77.91,,,,73.5
10RD433,"Receiver, 433 MHz Digital",EA,81.28,38.45,,,,36.28
10RD433EH,"Receiver 433mhz, Extended Hold Extended Hold Receiver",EA,81.28,38.45,,,,36.28
10RD900,10RD900 -- RECEIVER 900 Mhz DIGITAL,EA,81.78,38.13,,,,35.97
10REL12VAC,"ISO 12 Isolation Relay, 12 VAC",EA,52.94,29.35,,,,27.69
10REL12VDC,"ISO 12 Isolation Relay, 12V DC",EA,48.94,27.23,,,,25.69
10REL24V,"ISO 24 Isolation Relay, 24 VAC",EA,38.83,21.49,,,,20.27
10REL24VDC,"ISO 24 Isolation Relay, 24V DC",EA,39.96,22.21,,,,20.95
10REMOTE,Universal I.R. Remote Control,EA,80.4,37.99,,,,35.84
10RESTROOMKIT,BEA Restroom Kit,EA,330.34,77.75,,,,73.35
10RETROFITSPACER,"10RETROFITSPACER, ULTIMO RETROFIT SPACER KIT",EA,67.42,31.8,,,,30.0
10RIMHOUSING1UL,Armature Housing 1200lb single,EA,46.07,25.83,,,,24.36
10RIMHOUSING3UL,"Armature Housing, 600lb single",EA,46.07,25.83,,,,24.36
10SMARTFOCUS,Smart Focus safety sensor,EA,384.27,180.55,,,,170.33
10SMARTFOCUSSMA,Smart Focus Surface Mount Acc.,EA,40.45,22.24,,,,20.98
10SPACER1UL,Vertical Spacer for 1200lb Mag,EA,40.83,22.55,,,,21.27
10SPACER3UL,Vertical Spacer for 600lb Mag,EA,40.83,22.55,,,,21.27
10SPACER6UL,10SPACER6UL -- VERTICAL SPACER FOR 600LB MAG,EA,40.83,22.55,,,,21.27
10SPARROW,SPARROW BLK-02,EA,470.79,221.2,,,,208.68
10SPOTFINDER,BEA Spotfinder,EA,72.92,34.59,,,,32.64
10SSHARDWARE,Hardware Accessory Pack for SuperScan (70.0031),EA,16.36,8.58,,,,8.09
10SSQD,"Quick Disconnect, SuperScan",EA,59.93,33.31,,,,31.43
10SSTI,"SuperScan I, Primary Only",EA,396.18,188.59,,,,177.92
10SSTI13,"Superscan I, 13"""" No Cable, Sheath, Jamb Cap",EA,383.82,170.66,,,,161.0
10SSTI40,"SuperScan I, 40"""" Length 1 Primary only",EA,420.9,200.55,,,,189.2
10SSTI42,"SuperScan I, 42"""" Length 1 Primary only",EA,440.0,209.52,,,,197.66
10SSTI48,"SuperScan I, 48"""" Length 1 Primary",EA,453.48,215.5,,,,203.3
10SSTICUSTOM,"SuperScan I,Custom Length, Primary Only",EA,466.97,222.07,,,,209.5
10SSTII,"SuperScan II, 1 Each Primary and Secondary",EA,615.67,292.21,,,,275.67
10SSTII40,"SuperScan II, 40"""" Length 1 each Primary and Secondary",EA,645.76,306.42,,,,289.08
10SSTII42,"SuperScan II, 42"""" Length 1 each Primary and Secondary",EA,658.11,312.4,,,,294.72
10SSTII44,"SuperScan II, 44"""" Length 1 each Primary and Secondary",EA,672.72,319.57,,,,301.48
